task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 2 4 4
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 1 4 4
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 1 4 4
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 4 4
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 2 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_rand_index 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine homogeneity_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine completeness_score 3 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine v_measure_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine clustering_accuracy 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" homogeneity_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" completeness_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" v_measure_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 1 4 4
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" clustering_accuracy 1 4 4
Clustering teams_cluster DBSCAN metric=cosine adjusted_rand_index 1 4 4
Clustering teams_cluster DBSCAN metric=cosine adjusted_mutual_info_score 2 4 4
Clustering teams_cluster DBSCAN metric=cosine homogeneity_score 2 4 4
Clustering teams_cluster DBSCAN metric=cosine completeness_score 2 4 4
Clustering teams_cluster DBSCAN metric=cosine v_measure_score 2 4 4
Clustering teams_cluster DBSCAN metric=cosine normalized_mutual_info_score 2 4 4
Clustering teams_cluster DBSCAN metric=cosine clustering_accuracy 2 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 1 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 1 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 1 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 1 4 4
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 3 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 1 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0 4 4
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 3 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 1 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 1 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 4 4
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 3 4 4
DocumentSimilarity LP50 with_weights - pearson_score 1 4 4
DocumentSimilarity LP50 with_weights - spearman_score 0 4 4
DocumentSimilarity LP50 with_weights - harmonic_mean 0 4 4
DocumentSimilarity LP50 without_weights - pearson_score 1 4 4
DocumentSimilarity LP50 without_weights - spearman_score 1 4 4
DocumentSimilarity LP50 without_weights - harmonic_mean 1 4 4
EntityRelatedness KORE - - kendalltau_correlation 1 2 2
SemanticAnalogies capital_country_entities - - accuracy 2 4 4
SemanticAnalogies all_capital_country_entities - - accuracy 2 4 4
SemanticAnalogies currency_entities - - accuracy 1 4 4
SemanticAnalogies city_state_entities - - accuracy 3 4 4
