task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Regression Cities KNN K=3 root_mean_squared_error 7 11 11
Regression Cities M5 - root_mean_squared_error 8 11 11
Regression MetacriticMovies LR - root_mean_squared_error 6 11 11
Regression MetacriticMovies KNN K=3 root_mean_squared_error 4 11 11
Regression MetacriticMovies M5 - root_mean_squared_error 7 11 11
Regression MetacriticAlbums LR - root_mean_squared_error 2 11 11
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 7 11 11
Regression MetacriticAlbums M5 - root_mean_squared_error 2 11 11
Regression AAUP LR - root_mean_squared_error 2 11 11
Regression AAUP KNN K=3 root_mean_squared_error 6 11 11
Regression AAUP M5 - root_mean_squared_error 6 11 11
Regression Forbes LR - root_mean_squared_error 5 11 11
Regression Forbes KNN K=3 root_mean_squared_error 4 11 11
Regression Forbes M5 - root_mean_squared_error 7 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 2 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 2 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 2 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 1 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 2 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 2 11 11
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 8 11 10
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 10 11 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 10 11 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 10 11 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 10 11 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 10 11 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 10 11 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 8 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 10 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 3 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 3 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 4 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 3 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 3 11 11
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 7 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 10 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 7 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 8 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 7 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 7 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 7 11 11
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 6 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 8 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 6 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine homogeneity_score 2 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine completeness_score 2 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine v_measure_score 2 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 2 11 11
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine clustering_accuracy 8 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 10 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 10 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 10 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 10 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 10 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 10 11 11
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 10 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 2 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 2 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 2 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 2 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 2 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 2 11 11
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 2 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 9 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 7 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 8 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 8 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 7 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 7 11 11
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 10 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_rand_index 5 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_mutual_info_score 5 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine homogeneity_score 3 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine completeness_score 7 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine v_measure_score 3 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine normalized_mutual_info_score 3 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine clustering_accuracy 5 11 10
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 3 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" homogeneity_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" completeness_score 4 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" v_measure_score 3 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 3 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 2 11 11
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" clustering_accuracy 2 11 11
Clustering teams_cluster DBSCAN metric=cosine adjusted_rand_index 5 11 10
Clustering teams_cluster DBSCAN metric=cosine adjusted_mutual_info_score 9 11 10
Clustering teams_cluster DBSCAN metric=cosine homogeneity_score 4 11 10
Clustering teams_cluster DBSCAN metric=cosine completeness_score 6 11 10
Clustering teams_cluster DBSCAN metric=cosine v_measure_score 5 11 10
Clustering teams_cluster DBSCAN metric=cosine normalized_mutual_info_score 5 11 10
Clustering teams_cluster DBSCAN metric=cosine clustering_accuracy 7 11 9
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 5 11 10
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 2 11 10
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 2 11 11
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 2 11 11
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 2 11 10
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 2 11 10
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 4 11 8
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 2 11 11
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 2 11 11
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 11 11
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 2 11 11
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 2 11 11
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 2 11 11
