test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Regression MetacriticMovies 0.918 KNN K=3 root_mean_squared_error 23.124514190504733
models\model_complete\vectors_100_cosine_2_1 Regression MetacriticMovies 0.918 M5 - root_mean_squared_error 29.30823153991979
models\model_complete\vectors_100_cosine_2_1 Regression MetacriticAlbums 0.16375 LR - root_mean_squared_error 29.71576151502011
models\model_complete\vectors_100_cosine_2_1 Regression MetacriticAlbums 0.16375 KNN K=3 root_mean_squared_error 16.260883243668104
models\model_complete\vectors_100_cosine_2_1 Regression MetacriticAlbums 0.16375 M5 - root_mean_squared_error 19.97614464907088
models\model_complete\vectors_100_cosine_2_1 Regression AAUP 0.9729166666666668 LR - root_mean_squared_error 65.32479793694793
models\model_complete\vectors_100_cosine_2_1 Regression AAUP 0.9729166666666668 KNN K=3 root_mean_squared_error 77.03475634110575
models\model_complete\vectors_100_cosine_2_1 Regression AAUP 0.9729166666666668 M5 - root_mean_squared_error 95.77287885220552
models\model_complete\vectors_100_cosine_2_1 Regression Forbes 0.828391167192429 LR - root_mean_squared_error 35.719811163731976
models\model_complete\vectors_100_cosine_2_1 Regression Forbes 0.828391167192429 KNN K=3 root_mean_squared_error 39.52644395082992
models\model_complete\vectors_100_cosine_2_1 Regression Forbes 0.828391167192429 M5 - root_mean_squared_error 51.50485739064722
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine adjusted_rand_index 0.058223391216507984
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine adjusted_mutual_info_score 0.019251205211166
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine homogeneity_score 0.023471898044797
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine completeness_score 0.043897641585612
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine v_measure_score 0.03058833334344
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine normalized_mutual_info_score 0.03058833334344
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 DBSCAN metric=cosine clustering_accuracy 0.774995528527991
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0.042136740964068
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 0.162045395385205
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.21028720321388605
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.13195668401900398
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.162158057822972
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.162158057822972
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.5781613307100699
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.045202485196998
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.17040730208629198
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.22121410503220604
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.138726948977299
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.170518797564289
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.170518797564289
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.581649078876766
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.044796734702325
