test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.210287203213886
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.131956684019004
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.162158057822972
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.162158057822972
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.57816133071007
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.045202485196998
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.170407302086292
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.221214105032206
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.138726948977299
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.170518797564289
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.170518797564289
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.581649078876766
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.044796734702325
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.161985903219934
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.2103906008243
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.131837160628758
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.162098476861637
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.162098476861637
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.959130745841531 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.580665355034877
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine adjusted_rand_index -0.006390177640978
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine adjusted_mutual_info_score 0.005701148487208
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine homogeneity_score 0.046463155483237
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine completeness_score 0.053661325348724
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine v_measure_score 0.049803494258288
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine normalized_mutual_info_score 0.049803494258288
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine clustering_accuracy 0.485267034990792
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0.277041846446463
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 0.253875198311752
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.281002076506838
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.231899836178133
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.254100575162704
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.254100575162704
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.736418047882136
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.27632859457272
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.204373747982789
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.230974225962606
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.183646461942421
