task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 6 17 17
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 16 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 4 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine homogeneity_score 6 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine completeness_score 6 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine v_measure_score 6 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 6 17 17
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine clustering_accuracy 9 17 16
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 15 17 17
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 9 17 17
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 10 17 17
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 9 17 17
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 9 17 17
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 9 17 17
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 16 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 8 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 12 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 11 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 12 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 11 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 11 17 17
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 9 17 16
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 16 17 17
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 5 17 17
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 8 17 17
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 5 17 17
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 5 17 17
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 5 17 17
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 14 17 16
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_rand_index 10 17 17
