task_name,gold_standard_file,coverage,model_name,model_configuration,num_clusters,adjusted_rand_index,adjusted_mutual_info_score,homogeneity_score,completeness_score,v_measure_score,normalized_mutual_info_score,clustering_accuracy
Clustering,citiesMoviesAlbumsCompaniesUni_cluster,0.7884222117350952,DBSCAN,metric=cosine,13,0.073828593262932,0.1428036573607,0.099388958556657,0.271034759661067,0.145443507910225,0.145443507910225,0.435740128991663
Clustering,citiesMoviesAlbumsCompaniesUni_cluster,0.7884222117350952,KMeans,"metric=enclidean, n_clusters=5",5,0.102564794076362,0.245571201339074,0.232114655416785,0.262652470631012,0.246441141722076,0.246441141722076,0.451628126474752
Clustering,citiesMoviesAlbumsCompaniesUni_cluster,0.7884222117350952,Agglomerative clustering,"metric=cosine, n_clusters=5",5,0.122551938293823,0.202478317205144,0.21195975807022,0.195334036532022,0.20330756655225,0.20330756655225,0.425200566304861
Clustering,citiesMoviesAlbumsCompaniesUni_cluster,0.7884222117350952,Ward hierarchical clustering,"metric=cosine, n_clusters=5",5,0.104401995549136,0.191930667445726,0.190544365920489,0.195148134433516,0.192818774034088,0.192818774034088,0.39531225420796
