task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Regression MetacriticMovies KNN K=3 root_mean_squared_error 1 5 5
Regression MetacriticMovies M5 - root_mean_squared_error 1 5 5
Regression MetacriticAlbums LR - root_mean_squared_error 2 5 5
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 1 5 5
Regression MetacriticAlbums M5 - root_mean_squared_error 3 5 5
Regression AAUP LR - root_mean_squared_error 1 5 5
Regression AAUP KNN K=3 root_mean_squared_error 0 5 5
Regression AAUP M5 - root_mean_squared_error 2 5 5
Regression Forbes LR - root_mean_squared_error 1 5 5
Regression Forbes KNN K=3 root_mean_squared_error 0 5 5
Regression Forbes M5 - root_mean_squared_error 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 5 5
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 0 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 1 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 3 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 3 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 3 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 3 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 3 5 5
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 2 5 5
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 3 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 2 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 2 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 2 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 2 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 2 5 5
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 3 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 0 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine homogeneity_score 1 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine completeness_score 1 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine v_measure_score 1 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 5 5
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine clustering_accuracy 3 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 3 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 2 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 2 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 2 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 2 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 2 5 5
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 4 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 3 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 3 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 3 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 3 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 3 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 3 5 5
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 4 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 3 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 3 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 1 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 1 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 5 5
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 4 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_rand_index 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine homogeneity_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine completeness_score 3 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine v_measure_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine clustering_accuracy 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" homogeneity_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" completeness_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" v_measure_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 1 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 2 5 5
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" clustering_accuracy 2 5 5
Clustering teams_cluster DBSCAN metric=cosine adjusted_rand_index 2 5 5
Clustering teams_cluster DBSCAN metric=cosine adjusted_mutual_info_score 2 5 5
Clustering teams_cluster DBSCAN metric=cosine homogeneity_score 3 5 5
Clustering teams_cluster DBSCAN metric=cosine completeness_score 3 5 5
Clustering teams_cluster DBSCAN metric=cosine v_measure_score 3 5 5
Clustering teams_cluster DBSCAN metric=cosine normalized_mutual_info_score 3 5 5
Clustering teams_cluster DBSCAN metric=cosine clustering_accuracy 2 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 1 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 3 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 2 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 2 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 2 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 2 5 5
Clustering teams_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 4 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 4 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 3 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 3 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 3 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 3 5 5
Clustering teams_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 4 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 3 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 2 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 3 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 3 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 3 5 5
Clustering teams_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 4 5 5
DocumentSimilarity LP50 with_weights - pearson_score 2 5 5
DocumentSimilarity LP50 with_weights - spearman_score 2 5 5
DocumentSimilarity LP50 with_weights - harmonic_mean 2 5 5
DocumentSimilarity LP50 without_weights - pearson_score 2 5 5
DocumentSimilarity LP50 without_weights - spearman_score 2 5 5
DocumentSimilarity LP50 without_weights - harmonic_mean 2 5 5
EntityRelatedness KORE - - kendalltau_correlation 1 3 3
SemanticAnalogies capital_country_entities - - accuracy 3 5 5
SemanticAnalogies all_capital_country_entities - - accuracy 3 5 5
SemanticAnalogies currency_entities - - accuracy 4 5 5
SemanticAnalogies city_state_entities - - accuracy 1 5 5
