task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 3 9 9
Classification Cities KNN K=3 accuracy 4 9 9
Classification Cities C45 - accuracy 6 9 9
Classification Cities SVM C=0.001 accuracy 0 9 4
Classification Cities SVM C=0.01 accuracy 0 9 4
Classification Cities SVM C=0.1 accuracy 1 9 4
Classification Cities SVM C=1.0 accuracy 6 9 9
Classification Cities SVM C=10.0 accuracy 3 9 9
Classification Cities SVM C=100 accuracy 3 9 9
Classification Cities SVM C=1000 accuracy 2 9 9
Classification MetacriticMovies NB - accuracy 2 9 9
Classification MetacriticMovies KNN K=3 accuracy 7 9 9
Classification MetacriticMovies C45 - accuracy 6 9 9
Classification MetacriticMovies SVM C=0.001 accuracy 3 9 5
Classification MetacriticMovies SVM C=0.01 accuracy 3 9 5
Classification MetacriticMovies SVM C=0.1 accuracy 2 9 9
Classification MetacriticMovies SVM C=1.0 accuracy 6 9 9
Classification MetacriticMovies SVM C=10.0 accuracy 8 9 9
Classification MetacriticMovies SVM C=100 accuracy 7 9 9
Classification MetacriticMovies SVM C=1000 accuracy 5 9 9
Classification MetacriticAlbums NB - accuracy 0 9 9
Classification MetacriticAlbums KNN K=3 accuracy 7 9 9
Classification MetacriticAlbums C45 - accuracy 2 9 9
Classification MetacriticAlbums SVM C=0.001 accuracy 4 9 6
Classification MetacriticAlbums SVM C=0.01 accuracy 4 9 6
Classification MetacriticAlbums SVM C=0.1 accuracy 4 9 6
Classification MetacriticAlbums SVM C=1.0 accuracy 4 9 9
Classification MetacriticAlbums SVM C=10.0 accuracy 5 9 9
Classification MetacriticAlbums SVM C=100 accuracy 4 9 9
Classification MetacriticAlbums SVM C=1000 accuracy 5 9 9
Classification AAUP NB - accuracy 7 9 9
Classification AAUP KNN K=3 accuracy 6 9 9
Classification AAUP C45 - accuracy 4 9 9
Classification AAUP SVM C=0.001 accuracy 4 9 5
Classification AAUP SVM C=0.01 accuracy 4 9 5
Classification AAUP SVM C=0.1 accuracy 2 9 9
Classification AAUP SVM C=1.0 accuracy 5 9 9
Classification AAUP SVM C=10.0 accuracy 6 9 9
Classification AAUP SVM C=100 accuracy 8 9 9
Classification AAUP SVM C=1000 accuracy 7 9 9
Classification Forbes NB - accuracy 4 9 9
Classification Forbes KNN K=3 accuracy 7 9 9
Classification Forbes C45 - accuracy 6 9 9
Classification Forbes SVM C=0.001 accuracy 5 9 7
Classification Forbes SVM C=0.01 accuracy 5 9 7
Classification Forbes SVM C=0.1 accuracy 7 9 9
Classification Forbes SVM C=1.0 accuracy 5 9 9
Classification Forbes SVM C=10.0 accuracy 7 9 9
Classification Forbes SVM C=100 accuracy 8 9 9
Classification Forbes SVM C=1000 accuracy 7 9 9
Regression Cities LR - root_mean_squared_error 6 9 9
Regression Cities KNN K=3 root_mean_squared_error 3 9 9
Regression Cities M5 - root_mean_squared_error 1 9 9
Regression MetacriticMovies LR - root_mean_squared_error 4 9 9
Regression MetacriticMovies KNN K=3 root_mean_squared_error 4 9 9
Regression MetacriticMovies M5 - root_mean_squared_error 6 9 9
Regression MetacriticAlbums LR - root_mean_squared_error 4 9 9
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 7 9 9
Regression MetacriticAlbums M5 - root_mean_squared_error 5 9 9
Regression AAUP LR - root_mean_squared_error 8 9 9
Regression AAUP KNN K=3 root_mean_squared_error 6 9 9
Regression AAUP M5 - root_mean_squared_error 4 9 9
Regression Forbes LR - root_mean_squared_error 5 9 9
Regression Forbes KNN K=3 root_mean_squared_error 6 9 9
Regression Forbes M5 - root_mean_squared_error 4 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 2 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 2 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 2 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 2 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 2 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 2 9 9
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 5 9 8
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 5 9 9
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 7 9 9
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 7 9 9
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 7 9 9
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 7 9 9
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 7 9 9
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 5 9 9
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 6 9 9
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 6 9 9
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 6 9 9
